|Posición|Descripcion|conc
5281|841440|Compresores de aire montados en chasis remolcable de ruedas|841440 - Compresores de aire montados en chasis remolcable de ruedas
5282|841451|Ventiladores de mesa, pie, pared, cielo raso, techo, tejado o ventana, con motor eléctrico ...|841451 - Ventiladores de mesa, pie, pared, cielo raso, techo, tejado o ventana, con motor eléctrico ...
5283|841459|Ventiladores (exc. de mesa, pie, pared, cielo raso, techo, tejado o ventana, con motor eléctrico ...|841459 - Ventiladores (exc. de mesa, pie, pared, cielo raso, techo, tejado o ventana, con motor eléctrico ...
5284|841460|Campanas aspirantes con ventilador, incl. con filtro, en las que el mayor lado horizontal sea ...|841460 - Campanas aspirantes con ventilador, incl. con filtro, en las que el mayor lado horizontal sea ...
5285|841470|Armarios de seguridad biológica estancos a gases|841470 - Armarios de seguridad biológica estancos a gases
5286|841480|Bombas de aire, compresores de aire u otros gases; campanas aspirantes para extracción o reciclado, ...|841480 - Bombas de aire, compresores de aire u otros gases; campanas aspirantes para extracción o reciclado, ...
5287|841490|Partes de: bombas de aire o de vacío, compresores de aire u otros gases, ventiladores y campanas ...|841490 - Partes de: bombas de aire o de vacío, compresores de aire u otros gases, ventiladores y campanas ...
5288|841510|"Máquinas y aparatos para acondicionamiento de aire, de pared o para ventanas, formando un ..."""|"841510 - Máquinas y aparatos para acondicionamiento de aire, de pared o para ventanas, formando un ..."""
5289|841520|Máquinas y aparatos para acondicionamiento de aire, de los tipos utilizados en vehículos automóviles ...|841520 - Máquinas y aparatos para acondicionamiento de aire, de los tipos utilizados en vehículos automóviles ...
5290|841581|"Máquinas y aparatos para acondicionamiento de aire, con equipo de enfriamiento y válvula de ..."""|"841581 - Máquinas y aparatos para acondicionamiento de aire, con equipo de enfriamiento y válvula de ..."""
5291|841582|"Máquinas y aparatos para acondicionamiento de aire, con equipo de enfriamiento pero sin válvula ..."""|"841582 - Máquinas y aparatos para acondicionamiento de aire, con equipo de enfriamiento pero sin válvula ..."""
5292|841583|"Máquinas y aparatos para acondicionamiento de aire que contengan un ventilador con motor, ..."""|"841583 - Máquinas y aparatos para acondicionamiento de aire que contengan un ventilador con motor, ..."""
5293|841590|Partes de máquinas y aparatos para acondicionamiento de aire que comprenden un ventilador con ...|841590 - Partes de máquinas y aparatos para acondicionamiento de aire que comprenden un ventilador con ...
5294|841610|Quemadores para la alimentación de hogares, de combustibles líquidos|841610 - Quemadores para la alimentación de hogares, de combustibles líquidos
5295|841620|Quemadores para la alimentación de hogares, de combustibles sólidos pulverizados o gases, incl. ...|841620 - Quemadores para la alimentación de hogares, de combustibles sólidos pulverizados o gases, incl. ...
5296|841630|Alimentadores mecánicos de hogares, parrillas mecánicas, descargadores mecánicos de cenizas ...|841630 - Alimentadores mecánicos de hogares, parrillas mecánicas, descargadores mecánicos de cenizas ...
5297|841690|Partes de quemadores para la alimentación de hogares; partes de alimentadores mecánicos de ...|841690 - Partes de quemadores para la alimentación de hogares; partes de alimentadores mecánicos de ...
5298|841710|"Hornos industriales o de laboratorio, que no sean eléctricos, para tostación, fusión u otros ..."""|"841710 - Hornos industriales o de laboratorio, que no sean eléctricos, para tostación, fusión u otros ..."""
5299|841720|Hornos, que no sean eléctricos, de panadería, pastelería o galletería|841720 - Hornos, que no sean eléctricos, de panadería, pastelería o galletería
5300|841780|"Hornos industriales o de laboratorio, que no sean eléctricos, incl. los incineradores (exc. ..."""|"841780 - Hornos industriales o de laboratorio, que no sean eléctricos, incl. los incineradores (exc. ..."""
5301|841790|Partes deornos industriales o de laboratorio, incl. los incineradores, que no sean eléctricos, ...|841790 - Partes deornos industriales o de laboratorio, incl. los incineradores, que no sean eléctricos, ...
5302|841810|Frigoríficos-congeladores combinados, con puertas o cajones exteriores independientes, o combinaciones ...|841810 - Frigoríficos-congeladores combinados, con puertas o cajones exteriores independientes, o combinaciones ...
5303|841821|Refrigeradores de compresión, domésticos|841821 - Refrigeradores de compresión, domésticos
5304|841822|Refrigeradores de absorción, eléctricos, domésticos|841822 - Refrigeradores de absorción, eléctricos, domésticos
5305|841829|Refrigeradores de absorción, domésticos|841829 - Refrigeradores de absorción, domésticos
5306|841830|"Congeladores horizontales del tipo arcón """"cofre"""", de capacidad <= 800 l"""""|"841830 - Congeladores horizontales del tipo arcón """"cofre"""", de capacidad <= 800 l"""""
5307|841840|Congeladores verticales del tipo armario, de capacidad <= 900 l|841840 - Congeladores verticales del tipo armario, de capacidad <= 900 l
5308|841850|"Armarios, arcones """"cofres"""", vitrinas, mostradores y muebles simil. para la producción de ..."""|"841850 - Armarios, arcones """"cofres"""", vitrinas, mostradores y muebles simil. para la producción de ..."""
5309|841860|Refrigeradores, congeladores y demás material, máquinas y aparatos para producción de frío, aunque no sean eléctricos; bombas de calor, excepto las máquinas y aparatos para acondicionamiento de aire de la partida 84.15.|841860 - Refrigeradores, congeladores y demás material, máquinas y aparatos para producción de frío, aunque no sean eléctricos; bombas de calor, excepto las máquinas y aparatos para acondicionamiento de aire de la partida 84.15.
5310|841861|Bombas de calor (exc. máquinas de la partida 8415)|841861 - Bombas de calor (exc. máquinas de la partida 8415)
5311|841869|Materiales, máquinas y aparatos para producción de frío (exc. grupos frigoríficos de compresión ...|841869 - Materiales, máquinas y aparatos para producción de frío (exc. grupos frigoríficos de compresión ...
5312|841890|Partes: Refrigeradores, congeladores y demás material, máquinas y aparatos para producción de frío, aunque no sean eléctricos; bombas de calor, excepto las máquinas y aparatos para acondicionamiento de aire de la partida 84.15. |841890 - Partes: Refrigeradores, congeladores y demás material, máquinas y aparatos para producción de frío, aunque no sean eléctricos; bombas de calor, excepto las máquinas y aparatos para acondicionamiento de aire de la partida 84.15. 
5313|841891|Muebles concebidos para incorporarles un equipo de producción de frío|841891 - Muebles concebidos para incorporarles un equipo de producción de frío
5314|841899|Partes de refrigeradores, de congeladores y demás material, máquinas y aparatos para producción ...|841899 - Partes de refrigeradores, de congeladores y demás material, máquinas y aparatos para producción ...
5315|841911|Calentadores de calentamiento instantáneo, de gas (exc. calderas de calefacción central)|841911 - Calentadores de calentamiento instantáneo, de gas (exc. calderas de calefacción central)
5316|841912|Calentadores de agua solares|841912 - Calentadores de agua solares
5317|841919|Calentadores de agua instantáneos o acumuladores, no eléctricos (exc. calentadores de agua ...|841919 - Calentadores de agua instantáneos o acumuladores, no eléctricos (exc. calentadores de agua ...
5318|841920|Esterilizadores médicos, quirúrgicos o de laboratorio|841920 - Esterilizadores médicos, quirúrgicos o de laboratorio
5319|841931|Secadores para productos agrícolas|841931 - Secadores para productos agrícolas
5320|841932|Secadores para madera, pasta para papel, papel o cartón|841932 - Secadores para madera, pasta para papel, papel o cartón
5321|841933|Aparatos de liofilización, de criodesecación y secadores de pulverización.|841933 - Aparatos de liofilización, de criodesecación y secadores de pulverización.
5322|841934|Los demás, para productos agrícolas. Aparatos, dispositivos o equipos de laboratorio, aunque se calienten electricamente (excepto los hornos y demas aparatos de la partida 85.14), excepto los aparatos domesticos; calentadores de agua de calentamiento instantaneo o de acumulacion, excepto los electricos.Secadores.|841934 - Los demás, para productos agrícolas. Aparatos, dispositivos o equipos de laboratorio, aunque se calienten electricamente (excepto los hornos y demas aparatos de la partida 85.14), excepto los aparatos domesticos; calentadores de agua de calentamiento instantaneo o de acumulacion, excepto los electricos.Secadores.
5323|841935|Secadores para madera, pasta de papel, papel o cartón (exc. ​​aparatos de liofilización, liofilizadores, ...|841935 - Secadores para madera, pasta de papel, papel o cartón (exc. ​​aparatos de liofilización, liofilizadores, ...
5324|841939|Secadores (exc. ​​aparatos de liofilización, unidades de liofilización, secadores por atomización, ...|841939 - Secadores (exc. ​​aparatos de liofilización, unidades de liofilización, secadores por atomización, ...
5325|841940|Aparatos de destilación o rectificación|841940 - Aparatos de destilación o rectificación
5326|841950|Intercambiadores de calor (exc. calentadores de agua de calentamiento instantáneo o de acumulación, ...|841950 - Intercambiadores de calor (exc. calentadores de agua de calentamiento instantáneo o de acumulación, ...
5327|841960|Aparatos o dispositivos para licuefacción de aire u otros gases|841960 - Aparatos o dispositivos para licuefacción de aire u otros gases
5328|841981|Aparatos y dispositivos para la preparación de bebidas calientes o la cocción o calentamiento ...|841981 - Aparatos y dispositivos para la preparación de bebidas calientes o la cocción o calentamiento ...
5329|841989|Aparatos y dispositivos, aunque se calienten eléctricamente, para tratamiento de materias mediante ...|841989 - Aparatos y dispositivos, aunque se calienten eléctricamente, para tratamiento de materias mediante ...
5330|841990|Partes de aparatos y de dispositivos, aunque se calienten eléctricamente, para tratamiento ...|841990 - Partes de aparatos y de dispositivos, aunque se calienten eléctricamente, para tratamiento ...
5331|842010|Calandrias y laminadores (exc. metal o vidrio)|842010 - Calandrias y laminadores (exc. metal o vidrio)
5332|842091|Cilindros para calandrias y para laminadores (exc. para metal o vidrio)|842091 - Cilindros para calandrias y para laminadores (exc. para metal o vidrio)
5333|842099|Partes distintas de los cilindros para calandrias y para laminadores, n.c.o.p. (exc. para metal ...|842099 - Partes distintas de los cilindros para calandrias y para laminadores, n.c.o.p. (exc. para metal ...
5334|842111|"Desnatadoras """"descremadoras"""" y clarificadoras centrífugas para tratamiento de la leche"""""|"842111 - Desnatadoras """"descremadoras"""" y clarificadoras centrífugas para tratamiento de la leche"""""
5335|842112|Secadoras de ropa|842112 - Secadoras de ropa
5336|842119|Centrifugadoras, incl. las secadoras centrífugas (exc. para la separación de isótopos, así ...|842119 - Centrifugadoras, incl. las secadoras centrífugas (exc. para la separación de isótopos, así ...
5337|842121|Aparatos de filtrar o depurar agua|842121 - Aparatos de filtrar o depurar agua
5338|842122|Aparatos de filtrar o depurar bebidas (exc. agua)|842122 - Aparatos de filtrar o depurar bebidas (exc. agua)
5339|842123|Aparatos de filtrar lubricantes o carburantes en los motores de encendido por chispa o compresión|842123 - Aparatos de filtrar lubricantes o carburantes en los motores de encendido por chispa o compresión
5340|842129|"Aparatos de filtrar o depurar líquidos (exc. los aparatos para filtrar o depurar agua y bebidas ..."""|"842129 - Aparatos de filtrar o depurar líquidos (exc. los aparatos para filtrar o depurar agua y bebidas ..."""
5341|842131|Filtros de entrada de aire para motores de encendido por chispa o compresión|842131 - Filtros de entrada de aire para motores de encendido por chispa o compresión
5342|842132|Convertidores catalíticos o filtros de partículas, incluso combinados, para depurar o filtrar ...|842132 - Convertidores catalíticos o filtros de partículas, incluso combinados, para depurar o filtrar ...
5343|842139|Máquinas y aparatos para filtrar o depurar gases (exc. ​​Separadores de isótopos y filtros ...|842139 - Máquinas y aparatos para filtrar o depurar gases (exc. ​​Separadores de isótopos y filtros ...
5344|842191|Partes de centrifugadoras y de secadoras centrífugas, n.c.o.p.|842191 - Partes de centrifugadoras y de secadoras centrífugas, n.c.o.p.
5345|842199|Partes de máquinas y aparatos para filtrar o depurar líquidos o gases, ncop|842199 - Partes de máquinas y aparatos para filtrar o depurar líquidos o gases, ncop
5346|842211|Máquinas para lavar vajilla, de tipo doméstico|842211 - Máquinas para lavar vajilla, de tipo doméstico
5347|842219|Máquinas para lavar vajilla (exc. de tipo doméstico)|842219 - Máquinas para lavar vajilla (exc. de tipo doméstico)
5348|842220|Máquinas y aparatos para limpiar o secar botellas o demás recipientes (exc. máquinas para lavar ...|842220 - Máquinas y aparatos para limpiar o secar botellas o demás recipientes (exc. máquinas para lavar ...
5349|842230|"Máquinas y aparatos para llenar, cerrar, tapar o etiquetar botellas, botes o latas, cajas, ..."""|"842230 - Máquinas y aparatos para llenar, cerrar, tapar o etiquetar botellas, botes o latas, cajas, ..."""
5350|842240|"Máquinas y aparatos para empaquetar o envolver mercancías, incl. las de envolver con película ..."""|"842240 - Máquinas y aparatos para empaquetar o envolver mercancías, incl. las de envolver con película ..."""
5351|842290|Partes de máquinas para lavar vajilla, de máquinas para empaquetar y de demás máquinas y aparatos ...|842290 - Partes de máquinas para lavar vajilla, de máquinas para empaquetar y de demás máquinas y aparatos ...
5352|842310|Instrumentos e aparatos de pesar personas, incl. los pesabebés; balanzas domésticas|842310 - Instrumentos e aparatos de pesar personas, incl. los pesabebés; balanzas domésticas
5353|842320|Básculas y balanzas de pesada continua sobre transportadores|842320 - Básculas y balanzas de pesada continua sobre transportadores
5354|842330|"Básculas y balanzas para pesada constante, incl. las dedescargar pesos determinados en sacos ..."""|"842330 - Básculas y balanzas para pesada constante, incl. las dedescargar pesos determinados en sacos ..."""
5355|842381|Instrumentos e aparatos de pesar, con capacidad <= 30 kg (exc. balanzas sensibles a un peso ...|842381 - Instrumentos e aparatos de pesar, con capacidad <= 30 kg (exc. balanzas sensibles a un peso ...
5356|842382|Instrumentos e aparatos de pesar, con capacidad > 30 kg pero <= 5.000 kg (exc. instrumentos ...|842382 - Instrumentos e aparatos de pesar, con capacidad > 30 kg pero <= 5.000 kg (exc. instrumentos ...
5357|842389|Instrumentos e aparatos de pesar, con capacidad > 5.000 kg|842389 - Instrumentos e aparatos de pesar, con capacidad > 5.000 kg
